Tabelle: 12621-0001;;
Sterbetafel (Periodensterbetafel): Deutschland, Jahre,;;
Geschlecht, Vollendetes Alter;;
Sterbetafeln;;
Deutschland;;
;;Sterbewahrscheinlichkeit [q(x)]
;;Ziffer
1991/93;;
männlich;0 Jahre;0,00698929
;1 Jahr;0,00058753
;2 Jahre;0,00042698
;3 Jahre;0,00032902
;4 Jahre;0,00027083
;5 Jahre;0,00023542
;6 Jahre;0,00020653
;7 Jahre;0,00019193
;8 Jahre;0,00020306
;9 Jahre;0,00017495
;10 Jahre;0,00016143
;11 Jahre;0,00018847
;12 Jahre;0,00020386
;13 Jahre;0,00021516
;14 Jahre;0,00024468
;15 Jahre;0,00034911
;16 Jahre;0,00053605
;17 Jahre;0,00072622
;18 Jahre;0,00105659
;19 Jahre;0,00116367
;20 Jahre;0,00111167
;21 Jahre;0,00112911
;22 Jahre;0,00110411
;23 Jahre;0,00108000
;24 Jahre;0,00103879
;25 Jahre;0,00106947
;26 Jahre;0,00108862
;27 Jahre;0,00108830
;28 Jahre;0,00112685
;29 Jahre;0,00121671
;30 Jahre;0,00127844
;31 Jahre;0,00136804
;32 Jahre;0,00139065
;33 Jahre;0,00157886
;34 Jahre;0,00165220
;35 Jahre;0,00176162
;36 Jahre;0,00187166
;37 Jahre;0,00205053
;38 Jahre;0,00226641
;39 Jahre;0,00239199
;40 Jahre;0,00257800
;41 Jahre;0,00278227
;42 Jahre;0,00286864
;43 Jahre;0,00316342
;44 Jahre;0,00344799
;45 Jahre;0,00369354
;46 Jahre;0,00412720
;47 Jahre;0,00445372
;48 Jahre;0,00507926
;49 Jahre;0,00550157
;50 Jahre;0,00614730
;51 Jahre;0,00655102
;52 Jahre;0,00717494
;53 Jahre;0,00789866
;54 Jahre;0,00862344
;55 Jahre;0,00932426
;56 Jahre;0,01061617
;57 Jahre;0,01179602
;58 Jahre;0,01308732
;59 Jahre;0,01439614
;60 Jahre;0,01609746
;61 Jahre;0,01748128
;62 Jahre;0,01932959
;63 Jahre;0,02091863
;64 Jahre;0,02270965
;65 Jahre;0,02397051
;66 Jahre;0,02646653
;67 Jahre;0,02851481
;68 Jahre;0,03135426
;69 Jahre;0,03411780
;70 Jahre;0,03747658
;71 Jahre;0,04280714
;72 Jahre;0,04613838
;73 Jahre;0,05022491
;74 Jahre;0,05263850
;75 Jahre;0,05936278
;76 Jahre;0,06692737
;77 Jahre;0,07192183
;78 Jahre;0,08059147
;79 Jahre;0,08738824
;80 Jahre;0,09634132
;81 Jahre;0,10613509
;82 Jahre;0,11651865
;83 Jahre;0,12780445
;84 Jahre;0,13970236
;85 Jahre;0,15298029
;86 Jahre;0,16491211
;87 Jahre;0,17878049
;88 Jahre;0,19243806
;89 Jahre;0,20414431
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
weiblich;0 Jahre;0,00547180
;1 Jahr;0,00053658
;2 Jahre;0,00027515
;3 Jahre;0,00024716
;4 Jahre;0,00022067
;5 Jahre;0,00019147
;6 Jahre;0,00017108
;7 Jahre;0,00013587
;8 Jahre;0,00014141
;9 Jahre;0,00013358
;10 Jahre;0,00014442
;11 Jahre;0,00014406
;12 Jahre;0,00014447
;13 Jahre;0,00013827
;14 Jahre;0,00016569
;15 Jahre;0,00020867
;16 Jahre;0,00027545
;17 Jahre;0,00029941
;18 Jahre;0,00040218
;19 Jahre;0,00044018
;20 Jahre;0,00036765
;21 Jahre;0,00034837
;22 Jahre;0,00034864
;23 Jahre;0,00034930
;24 Jahre;0,00037493
;25 Jahre;0,00039747
;26 Jahre;0,00039567
;27 Jahre;0,00038807
;28 Jahre;0,00046198
;29 Jahre;0,00048743
;30 Jahre;0,00053025
;31 Jahre;0,00052478
;32 Jahre;0,00062109
;33 Jahre;0,00070593
;34 Jahre;0,00076202
;35 Jahre;0,00078101
;36 Jahre;0,00089181
;37 Jahre;0,00098997
;38 Jahre;0,00102814
;39 Jahre;0,00113183
;40 Jahre;0,00127223
;41 Jahre;0,00138756
;42 Jahre;0,00154445
;43 Jahre;0,00167046
;44 Jahre;0,00182172
;45 Jahre;0,00197815
;46 Jahre;0,00219078
;47 Jahre;0,00233059
;48 Jahre;0,00262250
;49 Jahre;0,00272545
;50 Jahre;0,00289152
;51 Jahre;0,00323777
;52 Jahre;0,00338757
;53 Jahre;0,00368315
;54 Jahre;0,00407526
;55 Jahre;0,00445438
;56 Jahre;0,00480608
;57 Jahre;0,00528545
;58 Jahre;0,00589930
;59 Jahre;0,00638571
;60 Jahre;0,00712486
;61 Jahre;0,00788753
;62 Jahre;0,00866726
;63 Jahre;0,00956640
;64 Jahre;0,01043498
;65 Jahre;0,01148080
;66 Jahre;0,01262965
;67 Jahre;0,01401697
;68 Jahre;0,01548625
;69 Jahre;0,01749889
;70 Jahre;0,01931605
;71 Jahre;0,02259425
;72 Jahre;0,02458748
;73 Jahre;0,02791463
;74 Jahre;0,02960010
;75 Jahre;0,03354246
;76 Jahre;0,03882997
;77 Jahre;0,04313087
;78 Jahre;0,04944943
;79 Jahre;0,05463053
;80 Jahre;0,06197928
;81 Jahre;0,07041679
;82 Jahre;0,07936178
;83 Jahre;0,08961963
;84 Jahre;0,10017876
;85 Jahre;0,11195410
;86 Jahre;0,12476606
;87 Jahre;0,13853569
;88 Jahre;0,15322728
;89 Jahre;0,16715101
;90 Jahre;-
;91 Jahre;-
;92 Jahre;-
;93 Jahre;-
;94 Jahre;-
;95 Jahre;-
;96 Jahre;-
;97 Jahre;-
;98 Jahre;-
;99 Jahre;-
;100 Jahre;-
1992/94;;
männlich;0 Jahre;0,00652012
;1 Jahr;0,00054002
;2 Jahre;0,00040505
;3 Jahre;0,00029700
;4 Jahre;0,00025379
;5 Jahre;0,00021679
;6 Jahre;0,00020180
;7 Jahre;0,00018706
;8 Jahre;0,00016843
;9 Jahre;0,00017725
;10 Jahre;0,00015775
;11 Jahre;0,00018524
;12 Jahre;0,00018809
;13 Jahre;0,00021372
;14 Jahre;0,00023418
;15 Jahre;0,00035868
;16 Jahre;0,00052681
;17 Jahre;0,00065920
;18 Jahre;0,00106907
;19 Jahre;0,00115876
;20 Jahre;0,00109922
;21 Jahre;0,00110309
;22 Jahre;0,00105300
;23 Jahre;0,00102394
;24 Jahre;0,00100345
;25 Jahre;0,00103102
;26 Jahre;0,00101841
;27 Jahre;0,00102773
